inci_name,cas_number,einecs_number,function
(CANANGA ODORATA FLOWER/LEAF)/GANODERMA LUCIDUM FRUITING BODY/(CORCHORUS OLITORIUS/HENNA/MELIA AZADIRACHTA/MORUS ALBA/MUNTINGIA CALABURA/PSIDIUM GUAJAVA/TAMARINDUS INDICA LEAF)/(CITRUS HYSTRIX LEAF/PEEL)/(CITRONELLA/CYMBOPOGON SCHOENANTHUS/OCIMUM TENUIFLORUM LEAF/STEM)/(ALPINIA GALANGA/BOESENBERGIA ROTUNDA/GINGER/TURMERIC RHIZOME)/ZINGIBER CASSUMUNAR ROOT EXTRACT,,,Skin Conditioning
(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,,,
(CITRUS AURANTIUM AMARA/FORSYTHIA SUSPENSA) FRUIT/SCUTELLARIA BAICALENSIS ROOT EXTRACT,,,Skin Conditioning
(CNIDIUM OFFICINALE/COPTIS CHINENSIS/GLYCYRRHIZA URALENSIS) ROOT EXTRACT,,,Skin Conditioning
(CODONOPSIS TANGSHEN/DIOSCOREA JAPONICA) ROOT/ATRACTYLODES JAPONICA RHIZOME/PORIA COCOS/(DOLICHOS LABLAB/COIX LACRYMA-JOBI MA-YUEN/EURYALE FEROX/NELUMBO NUCIFERA) SEED EXTRACT,,,"Humectant, Skin Conditioning, Skin Protecting"
(CRYPTOMERIA JAPONICA/CHAMAECYPARIS OBTUSA) STEM FERMENT EXTRACT,,,"Antimicrobial, Antioxidant, Humectant"
(ECLIPTA PROSTRATA/HOUTTUYNIA CORDATA) LEAF EXTRACT,,,Skin Conditioning
(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACCHARIDES,,,"Humectant, Skin Conditioning"
(GRIFOLA FRONDOSA/INONOTUS OBLIQUUS/SCHIZOPHYLLUM COMMUNE/TRICHOLOMA MATSUTAKE) MYCELIUM/LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE,,,"Humectant, Skin Conditioning"
(HONEY + ZYMOMONAS FERMENT) EXTRACT,,,Skin Conditioning
(LACTOBACILLUS/MILLET SEED FLOUR FERMENT & PANICUM MILIACEUM SEED EXTRACT) FILTRATE,,,Skin Conditioning
(LACTOBACILLUS/POLYSORBATE 80 FERMENT + LEUCONOSTOC/POLYSORBATE 80 FERMENT) LYSATE FILTRATE,,,Skin Conditioning
(LAVANDULA ANGUSTIFOLIA/MELISSA OFFICINALIS/HYPERICUM PERFORATUM) FLOWER/(CAMELLIA SINENSIS LEAF/(GLYCYRRHIZA GLABRA/ACANTHOPANAX SENTICOSUS) ROOT/SARRACENIA COBRA NEST LEAF/FLOWER/STALK EXTRACT,,,"Anti-Sebum, Antimicrobial, Skin Conditioning, Skin Protecting"
(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER,,,"Anti-Sebum, Antioxidant, Skin Conditioning, Skin Protecting"
(LESPEDEZA BICOLOR/PHELLODENDRON AMURENSE BARK)/MENTHA ARVENSIS LEAF/(ANEMARRHENA ASPHODELOIDES/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,,,Skin Conditioning
(LICORICE/REYNOUTRIA JAPONICA) ROOT/STEM EXTRACT,,,Antioxidant
(LINDERA STRYCHNIFOLIA/PAEONIA ALBIFLORA) ROOT/COMMIPHORA MYRRHA RESIN/SWERTIA JAPONICA/UNCARIA GAMBIR EXTRACT,,,"Skin Conditioning, Skin Conditioning - Emollient"
(LIQUIDAMBAR FORMOSANA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT,,,Skin Conditioning
(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,,,"Anti-Sebum, Antimicrobial, Antioxidant, Skin Conditioning"
(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/MENTHA ARVENSIS LEAF/SCUTELLARIA BAICALENSIS ROOT EXTRACT,,,"Humectant, Skin Conditioning, Skin Conditioning - Emollient"
(PANAX GINSENG MERISTEM CELL + TAXUS CUSPIDATA MERISTEM CELL CULTURE CONDITIONED MEDIA + PANAX GINSENG LEAF/ROOT/STEM POWDER) EXTRACT,,,Antioxidant
(SH-PENTAPEPTIDE-10 6-AMINOCAPROOYL SH-PENTAPEPTIDE-11) SP,,,"Humectant, Skin Conditioning"
"1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE",59354-71-1,261-715-3,Perfuming
"1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE",10031-71-7,233-092-8,Perfuming
"1,10-DECANEDIOL",112-47-0,203-975-2,Solvent
"1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",41199-19-3,255-256-8,Perfuming
"1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE",65405-72-3,265-742-1,Perfuming
"1,2,4-BENZENETRIACETATE",613-03-6,210-327-2,Hair Dyeing
"1,2,4-TRIHYDROXYBENZENE",533-73-3,208-575-1,Hair Dyeing
"1,2,6-HEXANETRIOL",106-69-4,203-424-6,"Humectant, Solvent, Viscosity Controlling"
"1,2-BIS-(2-AMINOETHOXY)ETHANE",,,Not Reported
"1,2-BUTANEDIOL",584-03-2,209-527-2,"Humectant, Skin Conditioning, Solvent, Viscosity Controlling"
"1,2-DIHYDROLINALOOL",18479-51-1,242-359-8,Perfuming
"1,2-HEXANEDIOL",6920-22-5,230-029-6,"Skin Conditioning, Solvent"
"1,2-HEXANEDIYL DICAPRATE",,,Bleaching
"1,3,4,6-TETRAMETHYL-2-PYRIMIDONE SULFATE",,,Hair Dyeing
"1,3-BIS-(2,4-DIAMINOPHENOXY) PROPANE HCL",74918-21-1,278-022-7,Not Reported
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",81892-72-0,279-845-4,Hair Dyeing
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",74918-21-1,278-022-7,Hair Dyeing
"1,3-BIS-(ISOCYANATOMETHYL) CYCLOHEXANE",38661-72-2,609-567-4,Not Reported
"1,3-DIMETHYL-3-PHENYLBUTYL ACETATE",68083-58-9,268-407-8,Perfuming
"1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE",104516-97-4,,Perfuming
"1,4-BUTANEDIOL",110-63-4,203-786-5,Solvent
"1,4-BUTANEDIOL BISDECANOATE",,,Bleaching
"1,4-BUTANEDIOL DIMETHACRYLATE",2082-81-7,218-218-1,Film Forming
"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID COPOLYMER",67423-06-7,,Abrasive
"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",119553-67-2,,"Abrasive, Binding, Film Forming"
"1,4-CYCLOHEXANEDICARBOXYLIC ACID",1076-97-7,214-068-6,Not Reported
"1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE",,,Bleaching
"1,5,9-TRIMETHYL-OXABICYCLOTRIDECADIENE",13786-79-3,237-443-6 / 275-967-7,Perfuming
"1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE",7779-23-9,231-922-3,Perfuming
"1,5-NAPHTHALENEDIOL",83-56-7,201-487-4,Hair Dyeing
"1,5-PENTANEDIOL",111-29-5,203-854-4,Solvent
"1,6-HDI/POLYVINYL ALCOHOL/ETHYLENEDIAMINE CROSSPOLYMER",,,Film Forming
"1,6-HEXAMETHYLENE DIISOCYANATE",822-06-0,212-485-8,Not Reported
"1,6-HEXANEDIAMINE",124-09-4,204-679-6,Buffering
"1,7-NAPHTHALENEDIOL",575-38-2,209-383-0,Hair Dyeing
1-ACETONAPHTHONE,941-98-0,213-384-1,"Fragrance, Perfuming"
1-ACETOXY-2-METHYLNAPHTHALENE,5697-02-9,454-690-7,Hair Dyeing
"1-ALLYL-3,4,6-TRIMETHYL-2-PYRIMIDONE BROMIDE",878476-91-6,,Hair Dyeing
1-ETHYL-3-METHOXY-TRICYCLOHEPTANE,31996-78-8,403-610-9,Perfuming
"1-ETHYLCYCLOHEXANE-1,4-DIMETHANOL",67663-05-2,266-851-7,Perfuming
1-FURFURYL-1H-PYRROLE,1438-94-4,215-876-1,Perfuming
1-HEXEN-3-OL,4798-44-1,225-355-0,Perfuming
"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",1361000-03-4,,Hair Dyeing
"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",155601-30-2,429-300-3,Hair Dyeing
1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE,67920-94-9,267-755-8,Perfuming
1-METHYL-4-METHYLETHENYL-CYCLOHEXENE SULFURIZED,68921-26-6,272-933-3,Perfuming
1-METHYL-4-METHYLVINYL-CYCLOHEXANOL,138-87-4,205-342-6,Perfuming
1-METHYL-4-METHYLVINYL-CYCLOHEXENE,7705-14-8,231-732-0 / 229-977-3,Perfuming
1-METHYL-4-METHYLVINYL-CYCLOHEXYL ACETATE,10198-23-9,233-494-3,Perfuming
1-METHYLDECYL ACETATE,14936-67-5,239-011-2,Perfuming
1-METHYLHYDANTOIN-2-IMIDE,60-27-5,200-466-7,Skin Conditioning
1-NAPHTHALENEACETIC ACID,86-87-3,,Skin Conditioning
1-NAPHTHOL,90-15-3,201-969-4,Hair Dyeing
1-NITROPROPANE,108-03-2,203-544-9,Solvent
1-NONEN-3-OL,21964-44-3,244-686-1,Perfuming
1-PENTEN-3-OL,616-25-1,210-472-1,Perfuming
1-PHENYLPROPYL ACETATE,2114-29-6,218-312-2,Perfuming
1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,7779-30-8,231-926-5,Perfuming
1-TRIMETHYL-3-CYCLOHEXENYLETHANONE,68480-14-8,270-891-0,Perfuming
"10-HYDROXY-1,8-P-MENTHADIENE",15766-66-2,239-857-2,Perfuming
10-HYDROXYDECANOIC ACID,1679-53-4,216-848-1,Skin Conditioning
10-HYDROXYDECENOIC ACID,765-01-5,,Skin Conditioning
10-HYDROXYSTEARIC ACID,638-26-6,,"Skin Conditioning, Skin Protecting"
10-UNDECENYL ACETATE,112-19-6,203-944-3,Perfuming
16-ALPHA ETHYL ESTRADIOLCARBOXYLATE,345294-78-2,,"Skin Conditioning, Skin Conditioning - Emollient, Skin Protecting"
16-BETA METHYL ESTRADIOLPROPANOATE,,,"Skin Conditioning, Skin Conditioning - Emollient, Skin Protecting"
2'-DEOXYADENOSINE,958-09-8,"213-488-7 (I),",Hair Conditioning
"2,2'-METHYLENEBIS-4-AMINOPHENOL",63969-46-0,440-850-3,Hair Dyeing
"2,2'-METHYLENEBIS-4-AMINOPHENOL HCL",27311-52-0,,Hair Dyeing
"2,2'-THIOBIS(4-CHLOROPHENOL)",97-24-5,202-568-7,Antimicrobial
"2,2-DIMETHYL-3-PHENYLPROPIONALDEHYDE",1009-62-7,213-771-5,Perfuming
"2,3,4,4A,5,6,7,8-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",643-53-8,211-399-8,Perfuming
"2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",67801-27-8,267-147-2,Perfuming
"2,3,6-TRIMETHYLPHENOL",2416-94-6,219-330-3,Perfuming
"2,3-BUTANEDIOL",513-85-9,208-173-6; 823-920-1; 246-186-9,"Fragrance, Humectant, Skin Conditioning, Solvent"
"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",857035-95-1,469-500-8,Hair Dyeing
"2,3-DIETHYLPYRAZINE",15707-24-1,239-800-1,Perfuming
"2,3-DIHYDRO-2,2,6-TRIMETHYLBENZALDEHYDE",116-26-7,204-133-7,Perfuming
"2,3-DIMETHYL-2-NONENENITRILE",53153-67-6,258-399-4,Perfuming
"2,3-DIMETHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL",71850-78-7,276-097-0,Perfuming
"2,3-DIMETHYL-4-FORMYL-1-PHENYL-5-PYRAZOLONE",950-81-2,213-452-0,Hair Dyeing
"2,3-EPOXYPROPYL COCODIMONIUM CHLORIDE",,,Not Reported
"2,3-EPOXYPROPYL LAURYLDIMONIUM CHLORIDE",,,Not Reported
"2,3-EPOXYPROPYLTRIMONIIUM CHLORIDE",3033-77-0,221-221-0,Not Reported
"2,3-NAPHTHALENEDIOL",92-44-4,202-156-7,Hair Dyeing
"2,3-XYLENOL",526-75-0,208-395-3,Perfuming
"2,4,6-TRIMETHYL-3-CYCLOHEXENECARBALDEHYDE",1423-46-7,215-833-7,Perfuming
"2,4,6-TRIMETHYL-3-CYCLOHEXENYL-4-PENTEN-3-ONE",67801-30-3,267-150-9,Perfuming
"2,4,6-TRIMETHYL-4-PHENYL-1,3-DIOXANE",5182-36-5,225-963-6,Perfuming
"2,4,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",67634-05-3,266-808-2,Perfuming
"2,4-DIAMINO-5-METHYLPHENETOLE HCL",113715-25-6,,Hair Dyeing
"2,4-DIAMINO-5-METHYLPHENOXYETHANOL",141614-05-3,,Hair Dyeing
"2,4-DIAMINO-5-METHYLPHENOXYETHANOL HCL",113715-27-8,,Hair Dyeing
"2,4-DIAMINODIPHENYLAMINE",136-17-7,,Hair Dyeing
"2,4-DIAMINOPHENOL",95-86-3,202-459-4,Hair Dyeing
"2,4-DIAMINOPHENOL HCL",137-09-7,205-279-4,Hair Dyeing
"2,4-DIAMINOPHENOXYETHANOL HCL",66422-95-5,266-357-1,Hair Dyeing
"2,4-DIAMINOPHENOXYETHANOL SULFATE",70643-20-8,274-713-2,Hair Dyeing
"2,4-DIETHYLPHENYL METHYL KETONE",52191-01-2,257-727-3,Perfuming
"2,4-DIMETHYL CYCLOHEXENECARBONITRILE",66848-41-7,266-498-9,Perfuming
"2,4-DIMETHYL-2-(5,6,7,8-TETRAHYDRO-3,5,5,6,8,8-HEXAMETHYL-2-NAPHTHALENYL)-1,3-DIOXOLANE",131812-48-1,,Perfuming
"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",68039-49-6,268-264-1,"Fragrance, Perfuming, Tonic"
"2,4-DIMETHYL-3-CYCLOHEXENE-1-METHANOL",67634-17-7,266-821-3,Perfuming
"2,4-DIMETHYL-3-CYCLOHEXENE-1-METHYLACETATE",67634-26-8,266-831-8,Perfuming
"2,4-DIMETHYL-4,4A,5,9B-TETRAHYDROINDENO-1,3-DIOXIN",27606-09-3,248-561-2,Perfuming
"2,4-DIMETHYL-4-PHENYLTETRAHYDROFURAN",82461-14-1,279-967-8,Perfuming
"2,4-DIMETHYLBENZYLACETATE",62346-96-7,263-518-8,Perfuming
"2,4-DIMETHYLCYCLOHEXYLMETHYL ACETATE",67634-22-4,266-827-6,Perfuming
"2,4-DIMETHYLHEPTA-2,2-DIENAL",85136-08-9,285-731-5,Perfuming
"2,4-DIMETHYLPYRIDINE",108-47-4,203-586-8,Perfuming
"2,4-HEXADIENAL",142-83-6,205-564-3,Perfuming
"2,4-HEXADIENOL",111-28-4,203-853-9,Perfuming
"2,4-HEXADIENYL ACETATE",1516-17-2,216-163-8,Perfuming
"2,4-XYLENOL",105-67-9,203-321-6,Perfuming
"2,5,5-TRIMETHYL-2-PHENYL-1,3-DIOXANE",5406-58-6,226-466-7,Perfuming
"2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE",1603-02-7,216-500-9,Hair Dyeing
"2,5,6-TRIMETHYL-2-CYCLOHEXENONE",20030-30-2,243-473-0,Perfuming
"2,5-DIHYDRO-4-METHYLTHIAZOL-5-ETHANOL",84041-80-5,281-860-6,Perfuming
"2,5-DIHYDROXYBENZOIC ACID",490-79-9,207-718-5,Skin Conditioning
"2,5-DIHYDROXYBENZOYL DIPEPTIDE-27",,,"Humectant, Skin Conditioning, Skin Conditioning - Emollient, Skin Protecting"
"2,5-DIHYDROXYBENZOYL DIPEPTIDE-48",,,"Humectant, Skin Conditioning, Skin Conditioning - Emollient, Skin Protecting"
"2,5-DIMETHYL-2-VINYLHEX-4-ENAL",56134-05-5,260-006-6,Perfuming
"2,5-DIMETHYLPYRAZINE",123-32-0,204-618-3,Perfuming
"2,5-XYLENOL",95-87-4,202-461-5,Perfuming
"2,6,6-TRIMETHYL-1-CYCLOHEXENE-1-ACETALDEHYDE",472-66-2,207-454-0,Perfuming
"2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-ACETALDEHYDE",472-64-0,207-453-5,Perfuming
"2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-CARBALDEHYDE",432-24-6,207-080-8,Perfuming
"2,6,6-TRIMETHYLCYCLOHEXENE-1-CARBALDEHYDE",432-25-7,207-081-3,Perfuming
"2,6-BIS(2-HYDROXYETHOXY)-3,5-PYRIDINEDIAMINE HCL",117907-42-3,,Hair Dyeing
"2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE",28365-08-4,421-430-9,Hair Dyeing
"2,6-DIAMINOPYRIDINE",141-86-6,205-507-2,Hair Dyeing
"2,6-DIAMINOPYRIDINE SULFATE",146997-97-9,,Hair Dyeing
"2,6-DICARBOXYPYRIDINE",499-83-2,207-894-3,Chelating
"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",84540-47-6,283-141-2,Hair Dyeing
"2,6-DIHYDROXYETHYLAMINOTOLUENE",149330-25-6,443-210-1,Hair Dyeing
"2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL",56216-28-5,260-062-1,Hair Dyeing
"2,6-DIMETHYL-4-HEPTANOL",108-82-7,203-619-6,Perfuming
"2,6-DIMETHYL-4-HEPTANONE",108-83-8,203-620-1,Perfuming
"2,6-DIMETHYL-7-OCTEN-2-OL",18479-58-8,242-362-4,"Fragrance, Perfuming"
"2,6-DIMETHYL-P-PHENYLENEDIAMINE",7218-02-2,230-608-3,Hair Dyeing
"2,6-DIMETHYL-P-PHENYLENEDIAMINE HCL",56496-89-0,260-223-6,Hair Dyeing
"2,6-DIMETHYLHEPTA-1,5-DIENE",6709-39-3,229-757-7,Perfuming
"2,6-DIMETHYLHEPTANOL",13254-34-7,236-244-1,Perfuming
"2,6-DIMETHYLPYRAZINE",108-50-9,203-589-4,Perfuming
"2,6-XYLENOL",576-26-1,209-400-1,Perfuming
"2,7-DIMETHYL-10-ISOPROPYL-1-OXASPIRO-3,6-DECADIENE",89079-92-5,,Perfuming
"2,7-DIMETHYL-5-OCTEN-4-ONE",68419-46-5,270-267-8,Perfuming
"2,7-DIMETHYL-6-OCTEN-4-ONE",66471-49-6,266-374-4,Perfuming
"2,7-NAPHTHALENEDIOL",582-17-2,209-478-7,Hair Dyeing
2-(1-ETHYLPROPYL)PYRIDINE,7399-50-0,230-998-5,Perfuming
2-(2-AMINOETHOXY)ETHANOL,929-06-6,213-195-4,Hair Fixing
2-ACETONAPHTHONE,93-08-3,202-216-2,"Fragrance, Perfuming"
2-ACETYLHYDROQUINONE,490-78-8,207-716-4,"Antioxidant, Bleaching, Skin Conditioning"
2-ACRYLAMIDO-2-METHYLPROPANE SULFONIC ACID,15214-89-8,239-268-0,Not Reported
2-ALLYLOXYETHOXY GLUCOSIDE,285554-73-6,,Not Reported
2-AMINO-3-HYDROXYPYRIDINE,16867-03-1,240-886-8,Hair Dyeing
2-AMINO-3-NITROPHENOL,603-85-0,210-060-1,Hair Dyeing
"2-AMINO-4,5-DIMETHYLTHIAZOLE HBR",7170-76-5,230-523-1,Skin Conditioning
2-AMINO-4-HYDROXYETHYLAMINOANISOLE,83763-47-7,280-733-2,Hair Dyeing
